Season,Name,Team,PA,O-Swing%,Swing%,Pull%,CStr%,CSW%,BB%+,K%+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Hard%+,OBP+,NameASCII,PlayerId,MLBAMID
2021,"Hunter Dozier","KCR",543,0.3408,0.4884,0.4159,0.1537,0.302,93.43430670477363,123.96986473829523,94.83285301849929,105.22008594254702,94.49922677033534,94.8977225028106,89.68948941527341,114.63002825793033,81.5697944634785,103.27794738415066,113.70450584432643,90.17912273679107,"Hunter Dozier",15117,641531
2015,"Alex Rios","KCR",411,0.3076,0.4723,0.4259,0.1794,0.2583,47.44733964981552,82.30481549849269,85.48656979404741,62.761934855273935,99.17653590789875,107.99071858353419,89.63162514219638,108.46065073943613,27.88452220312304,104.82059724670488,94.83147510696607,90.178698198133,"Alex Rios",2090,425567
2011,"Mike McCoy","TOR",228,0.2081,0.3859,0.3975,0.2201,0.2968,135.36644711555275,100.23944696387616,65.81699851541997,47.24504139947779,81.7248936991511,88.99603516248007,106.76165530847996,97.71601186824077,38.431177371342685,97.66702245185985,83.16992168929981,90.17470701740874,"Mike McCoy",4583,453454
2019,"Yairo Muñoz","STL",181,0.467,0.5976,0.3824,0.1128,0.2637,43.6506445570035,93.52006002482592,79.683817081054,46.588158287771634,109.32773545973353,85.32306625427928,134.84263422536807,66.86951334312616,40.366331106962065,94.33848431756125,81.20080802344961,90.17210838590935,"Yairo Munoz",16313,622168
2009,"Chad Tracy","ARI",288,0.2687,0.4606,0.3812,0.184,0.2536,97.35310590890894,75.45201460727972,92.19340922874044,97.08768844458294,81.55668833524021,93.12763141056892,79.71085357725855,127.02360568880364,76.6450564856481,94.58211456724963,95.39216636255641,90.17108831631823,"Chad Tracy",1888,429710
2009,"Matt Tolbert","MIN",231,0.2427,0.4693,0.4162,0.1682,0.2425,103.17892460111409,91.99749479881166,71.80015266841961,46.79484488410752,90.99175376204441,87.79941309300709,116.75302303238009,87.4878657536992,35.182229001110635,101.29359295265736,66.44593921376341,90.1664112075958,"Matt Tolbert",7365,445196
2018,"Aaron Altherr","PHI",285,0.2694,0.4485,0.3831,0.1723,0.3108,140.75029837413476,147.98769741928456,79.91631298888824,93.21467155957947,82.05065099497507,83.20131924491263,109.59554998735463,98.6264062829799,117.880320499967,95.29417074812294,102.96716237785704,90.16640603192275,"Aaron Altherr",11270,571437
2011,"Mark Trumbo","LAA",573,0.4211,0.5347,0.3877,0.1484,0.2681,53.86308874302858,116.73908249294658,116.64678921490572,148.00858603983363,93.23970591606921,81.95227292273894,104.11642464668478,104.60030611796216,178.87103688768212,95.25709447828682,119.90792130499612,90.16502254241328,"Mark Trumbo",6876,444432
2008,"Jamie Burke","SEA",100,0.2258,0.4397,0.4828,0.198,0.2356,58.16388139498261,41.57040952993237,77.45937994048138,42.65892590165009,89.54775107042381,71.66391024077254,121.64010035682458,89.5690710348445,36.61816718455854,117.71787132327279,25.377362500058602,90.15968211429659,"Jamie Burke",6,406550
2010,"Eli Whiteside","SFG",141,0.3153,0.4817,0.4149,0.1655,0.2764,64.21308390969128,134.53452185889302,96.13158180982919,105.19873204851329,98.98762569392163,65.57044793383642,105.02686598862476,110.9995244932455,109.20388604578339,105.87909880301642,54.50558358692589,90.15299396425804,"Eli Whiteside",3536,434630
2004,"Chase Utley","PHI",287,0.229,0.4991,0.4174,0.1579,0.2383,57.77204580935533,85.27878275784727,107.15335801495883,120.81961287485696,89.96529344378455,109.82797601756242,100.63797114692935,93.59873962162013,147.80063600993614,97.12263091837319,128.28236800768732,90.15277197163597,"Chase Utley",1679,400284
2021,"Sam Hilliard","COL",238,0.3041,0.4704,0.4252,0.1558,0.3447,105.20886050691243,163.90663523960046,110.05593387258257,144.4725733463703,96.15556461663853,87.23646601860638,102.25805362372601,104.69060962759839,213.16767846737127,105.66995153675992,100.6065024244271,90.15266182581114,"Sam Hilliard",17954,656541
2010,"Juan Miranda","NYY",71,0.2739,0.4265,0.4615,0.1648,0.2601,115.81497122011093,96.8223657613333,103.47250932553803,137.87169965820047,75.941462207263,74.80003733560923,74.49845612327395,141.25396821680096,114.75784523718582,115.47122271401679,109.48529433859484,90.14990887938727,"Juan Miranda",7783,506673
2003,"Kevin Witt","DET",289,0.2517,0.4742,0.4927,0.1692,0.3033,62.837155080764454,149.81542334808452,95.06736642432244,89.8297531803253,106.28007495242574,106.71871942952546,104.38224050022026,90.37028168222702,138.94813667989078,110.23912927641626,101.70865536301869,90.14842866407251,"Kevin Witt",362,136901
2012,"Colby Rasmus","TOR",625,0.3122,0.4609,0.4455,0.165,0.2755,93.65558242927816,124.13692452406654,97.08454838754244,113.38681772653942,88.42162229339691,96.63841873827512,84.6769133150582,121.62378611637759,111.44697070059983,110.05702831839277,122.90083360981545,90.14834846770074,"Colby Rasmus",9893,458675
2008,"Matt Treanor","FLA",234,0.2495,0.4535,0.4313,0.1722,0.2774,84.39887813703989,132.11215646171493,70.58565239567875,39.663117364097225,101.89755624642464,97.16876324109141,125.39386759247716,70.77035034306691,47.911476875775946,105.98088215422375,73.93426768010482,90.14224088596188,"Matt Treanor",2265,276354
