player_name,MLBAMID,Season,BIP,xHR,xBACON,xSLGCON,EV81,EV96,best_speed,hard_hit_rate
"Lopez, Nicky",670032,2020,130,1.3018647035538065,0.30099564976990223,0.34007717821666344,93.4,100.4,90.4771186440678,0.15611814345991562
"Urena, Richard",620446,2018,66,1.2990002720303186,0.3728008627552878,0.4468245371884331,94.982,100.58399999999999,92.30819672131148,0.18699186991869918
"Sisco, Chance",642082,2017,11,1.297583435698055,0.35885379937562073,0.7286767723084182,96.352,101.684,93.57777777777778,0.21052631578947367
"Revere, Ben",519184,2016,293,1.2959205199411659,0.24514482394115103,0.26816128529840705,93.1,99.03200000000001,91.70446927374302,0.14246575342465753
"Nido, Tomás",621512,2018,59,1.2949065725157647,0.29058316855107325,0.37570365818142754,96.36500000000002,101.416,90.9,0.19642857142857142
"Haggerty, Sam",664059,2020,34,1.2873424950746397,0.37049756155294533,0.5020026303673968,98.958,103.22,94.31666666666666,0.23333333333333334
"Rojas, Miguel",500743,2017,233,1.2810471932842438,0.321857862909976,0.34788144308004315,94,102.436,91.19344262295083,0.16348773841961853
"Wainwright, Adam",425794,2016,42,1.2796329508394204,0.3680226482517485,0.4699309472015322,101.47200000000001,105.676,98.26923076923077,0.33962264150943394
"DeShields, Delino",592261,2020,82,1.275924383617423,0.3038717991695171,0.36357356793641665,92.75500000000001,98.3,89.57424242424243,0.12121212121212122
"Díaz, Elias",553869,2020,53,1.2742125036435503,0.3543657804224289,0.43955811264325917,99.66000000000001,106.96,96.76222222222222,0.2857142857142857
"Frazier, Clint",640449,2018,20,1.2706254455894523,0.3887114718556404,0.5943711453548772,95.72500000000001,102.19999999999999,92.85555555555555,0.2222222222222222
"Bradley, Bobby",656252,2019,25,1.2702314821319804,0.36079499758780004,0.5258164497427635,98.08000000000001,109.76,96.6608695652174,0.21739130434782608
"Piña, Manny",444489,2020,28,1.2651228073216654,0.3946991012032543,0.5463455614099123,96.42399999999999,103.38400000000001,95.3923076923077,0.23076923076923078
"Wolters, Tony",547172,2019,296,1.2643331996815004,0.30271886178367846,0.3295414845031983,93.3,99.31999999999998,91.24,0.14666666666666667
"Avila, Alex",488671,2020,27,1.2615729578256847,0.3754358688990275,0.531259770398851,95.023,104.688,93.56296296296296,0.2037037037037037
"Morse, Michael",434604,2017,23,1.2526212148179852,0.36243403346642206,0.5335163570802135,103.00600000000001,108.856,100.08095238095238,0.32558139534883723
"Marrero, Deven",571918,2018,53,1.252574548065462,0.2894812231215666,0.36792367585014313,93.118,101.076,92.375,0.16666666666666666
"Gant, John",607231,2018,17,1.251612362757676,0.2355318810133373,0.46078800926308777,95.70000000000002,100.74,91.47,0.23809523809523808
"Arroyo, Christian",624414,2019,32,1.251182557644598,0.3350250708626845,0.46130960665305143,94.388,102.472,92.5962962962963,0.18181818181818182
